run_id,benchmark,method,noise_type,noise_rate,seed,task,gate_mean,gate_on_correct,gate_on_wrong,gate_separation,corr_gate_correct,buffer_purity,admission_rate
cifar10n_taskil__c10n_aggre__gate_loss__seed0,cifar10n_taskil,gate_loss,cifar10n:aggre,0.086,0,1,0.7471335446810722,0.7721970836867719,0.544998972470983,0.22719811121578892,0.2623109450524844,0.954,0.7476842105263158
cifar10n_taskil__c10n_aggre__gate_loss__seed0,cifar10n_taskil,gate_loss,cifar10n:aggre,0.086,0,2,0.7652171721893116,0.8096814883421852,0.48172263473015153,0.3279588536120337,0.41171294308318007,0.94,0.7648421052631579
cifar10n_taskil__c10n_aggre__gate_loss__seed0,cifar10n_taskil,gate_loss,cifar10n:aggre,0.086,0,3,0.8489955253276604,0.8790182083484099,0.46685709751442117,0.41216111083398876,0.4680266434468626,0.95,0.8496315789473684
cifar10n_taskil__c10n_aggre__gate_loss__seed0,cifar10n_taskil,gate_loss,cifar10n:aggre,0.086,0,4,0.8504513925868344,0.8817640204989318,0.4198541367024651,0.4619098837964667,0.5027912435941706,0.958,0.8513157894736842
cifar10n_taskil__c10n_aggre__gate_loss__seed1,cifar10n_taskil,gate_loss,cifar10n:aggre,0.09,1,0,0.7716708014206414,0.7976774565373917,0.3188727596204741,0.4788046969169176,0.35739315839608793,0.98,0.7727368421052632
cifar10n_taskil__c10n_aggre__gate_loss__seed1,cifar10n_taskil,gate_loss,cifar10n:aggre,0.09,1,1,0.7266290375157693,0.7561646251949217,0.5261743932670969,0.22999023192782475,0.27629212937795505,0.948,0.7266315789473684
cifar10n_taskil__c10n_aggre__gate_loss__seed1,cifar10n_taskil,gate_loss,cifar10n:aggre,0.09,1,2,0.751000447601718,0.7908521728791889,0.48355396659998967,0.3072982062791992,0.37170241749327904,0.944,0.7501052631578947
cifar10n_taskil__c10n_aggre__gate_loss__seed1,cifar10n_taskil,gate_loss,cifar10n:aggre,0.09,1,3,0.8265983965760708,0.8595570152255672,0.41480292833605503,0.4447540868895121,0.4650889167713356,0.942,0.8238947368421052
cifar10n_taskil__c10n_aggre__gate_loss__seed1,cifar10n_taskil,gate_loss,cifar10n:aggre,0.09,1,4,0.8508423170768341,0.8767215944504795,0.4669663693677603,0.40975522508271917,0.4499465350899811,0.944,0.8537368421052631
cifar10n_taskil__c10n_aggre__gate_loss__seed2,cifar10n_taskil,gate_loss,cifar10n:aggre,0.092,2,0,0.7863744994793737,0.8174566089659606,0.315279669981988,0.5021769389839726,0.4075099198415861,0.974,0.7862631578947369
cifar10n_taskil__c10n_aggre__gate_loss__seed2,cifar10n_taskil,gate_loss,cifar10n:aggre,0.092,2,1,0.7276227618697455,0.7515514374180007,0.5370963263723181,0.2144551110456826,0.24306603131763288,0.962,0.7256315789473684
cifar10n_taskil__c10n_aggre__gate_loss__seed2,cifar10n_taskil,gate_loss,cifar10n:aggre,0.092,2,2,0.7422301375452657,0.7873288149807132,0.4821739462935688,0.30515486868714436,0.4045299146165577,0.948,0.7416315789473684
cifar10n_taskil__c10n_aggre__gate_loss__seed2,cifar10n_taskil,gate_loss,cifar10n:aggre,0.092,2,3,0.8325403685253654,0.8663301557083503,0.37996200686235404,0.4863681488459962,0.509541472711168,0.952,0.8303157894736842
cifar10n_taskil__c10n_aggre__gate_loss__seed2,cifar10n_taskil,gate_loss,cifar10n:aggre,0.092,2,4,0.8518731033925508,0.8822018330458017,0.4348059763596464,0.4473958566861553,0.4946044571825379,0.958,0.8537894736842105
cifar10n_taskil__c10n_aggre__gate_loss__seed3,cifar10n_taskil,gate_loss,cifar10n:aggre,0.089,3,0,0.7896057148584267,0.8183672442713356,0.35049989936956494,0.4678673449017706,0.38777329039428515,0.972,0.7908421052631579
cifar10n_taskil__c10n_aggre__gate_loss__seed3,cifar10n_taskil,gate_loss,cifar10n:aggre,0.089,3,1,0.725077729502522,0.7480914186612185,0.5493368304724765,0.19875458818874203,0.23114946759818836,0.934,0.7263157894736842
cifar10n_taskil__c10n_aggre__gate_loss__seed3,cifar10n_taskil,gate_loss,cifar10n:aggre,0.089,3,2,0.749695532325346,0.7982618637112262,0.4433540574297941,0.3549078062814321,0.45426555756199555,0.936,0.745
cifar10n_taskil__c10n_aggre__gate_loss__seed3,cifar10n_taskil,gate_loss,cifar10n:aggre,0.089,3,3,0.8267922397945244,0.8601023360501946,0.3806388293397912,0.4794635067104034,0.508646246379825,0.938,0.826
cifar10n_taskil__c10n_aggre__gate_loss__seed3,cifar10n_taskil,gate_loss,cifar10n:aggre,0.089,3,4,0.8366609279253169,0.8627258552416569,0.44160883227357683,0.42111702296808007,0.437160831650407,0.95,0.8344736842105264
cifar10n_taskil__c10n_aggre__gate_loss__seed4,cifar10n_taskil,gate_loss,cifar10n:aggre,0.088,4,0,0.7736101815955393,0.7964817904827737,0.38182475913024283,0.41465703135253085,0.3081812100855846,0.962,0.7733684210526316
cifar10n_taskil__c10n_aggre__gate_loss__seed4,cifar10n_taskil,gate_loss,cifar10n:aggre,0.088,4,1,0.7250906033511979,0.7480151648260884,0.5589671318300296,0.18904803299605888,0.21721951608860393,0.946,0.7242105263157895
cifar10n_taskil__c10n_aggre__gate_loss__seed4,cifar10n_taskil,gate_loss,cifar10n:aggre,0.088,4,2,0.7447405921527798,0.7824536651822779,0.4878202821393245,0.2946333830429534,0.3727909282549027,0.904,0.7423684210526316
cifar10n_taskil__c10n_aggre__gate_loss__seed4,cifar10n_taskil,gate_loss,cifar10n:aggre,0.088,4,3,0.8333298755854548,0.8654305809197652,0.4533269313576716,0.4121036495620936,0.4815285930386173,0.918,0.8372105263157895
cifar10n_taskil__c10n_aggre__gate_loss__seed4,cifar10n_taskil,gate_loss,cifar10n:aggre,0.088,4,4,0.845698870483343,0.8720816280997694,0.42451698996396425,0.44756463813580516,0.47321377049302005,0.92,0.8459473684210527
cifar10n_taskil__c10n_aggre__oracle__seed0,cifar10n_taskil,oracle,cifar10n:aggre,0.086,0,0,0.9549473684210527,1.0,0.0,1.0,1.0,1.0,0.9549473684210527
cifar10n_taskil__c10n_aggre__oracle__seed0,cifar10n_taskil,oracle,cifar10n:aggre,0.086,0,1,0.8896842105263157,1.0,0.0,1.0,1.0,1.0,0.8896842105263157
cifar10n_taskil__c10n_aggre__oracle__seed0,cifar10n_taskil,oracle,cifar10n:aggre,0.086,0,2,0.864421052631579,1.0,0.0,1.0,1.0,1.0,0.864421052631579
