run_id,benchmark,method,noise_type,noise_rate,seed,bin_center,bin_acc,bin_conf,bin_count
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,0.6333333333333333,0.5721153846153846,0.6340421123000292,208
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,0.7,0.49760765550239233,0.7028887075100219,209
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,0.7666666666666666,0.5495867768595041,0.7683745504410799,242
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,0.8333333333333334,0.5753424657534246,0.8332707567574227,292
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,0.9,0.6521739130434783,0.9035316223919156,506
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,0.9666666666666667,0.8049004594180704,0.9881685574971151,3265
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,0.03333333333333333,,,0
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,0.1,,,0
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,0.16666666666666669,,,0
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,0.23333333333333334,,,0
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,0.3,,,0
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,0.3666666666666667,,,0
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,0.43333333333333335,,,0
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,0.5,0.5555555555555556,0.5168757405545976,108
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,0.5666666666666667,0.5337078651685393,0.5660551411382267,178
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,0.6333333333333333,0.5147058823529411,0.6341689617610445,204
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,0.7,0.5769230769230769,0.7014929234472096,234
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,0.7666666666666666,0.6452830188679245,0.7688220379487524,265
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,0.8333333333333334,0.6205882352941177,0.8362953184282078,340
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,0.9,0.6504854368932039,0.9027123275312405,515
cifar10n_taskil__c10n_aggre__er__seed1,cifar10n_taskil,er,cifar10n:aggre,0.09,1,0.9666666666666667,0.826362484157161,0.98658302788952,3156
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,0.03333333333333333,,,0
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,0.1,,,0
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,0.16666666666666669,,,0
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,0.23333333333333334,,,0
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,0.3,,,0
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,0.3666666666666667,,,0
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,0.43333333333333335,,,0
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,0.5,0.56,0.5162061506509781,100
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,0.5666666666666667,0.5436893203883495,0.5682517521589705,206
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,0.6333333333333333,0.5695067264573991,0.6335994539774052,223
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,0.7,0.5669642857142857,0.6985365351928132,224
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,0.7666666666666666,0.6373626373626373,0.7680976021857489,273
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,0.8333333333333334,0.6428571428571429,0.833776866612227,322
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,0.9,0.6770833333333334,0.9031283600876728,480
cifar10n_taskil__c10n_aggre__er__seed2,cifar10n_taskil,er,cifar10n:aggre,0.092,2,0.9666666666666667,0.8792559899117276,0.9868957168818422,3172
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,0.03333333333333333,,,0
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,0.1,,,0
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,0.16666666666666669,,,0
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,0.23333333333333334,,,0
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,0.3,,,0
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,0.3666666666666667,,,0
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,0.43333333333333335,,,0
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,0.5,0.5113636363636364,0.5151947878978469,88
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,0.5666666666666667,0.5217391304347826,0.5672184565792913,161
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,0.6333333333333333,0.5263157894736842,0.6334425596814407,190
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,0.7,0.545,0.6994241589307785,200
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,0.7666666666666666,0.6359832635983264,0.7669911524241938,239
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,0.8333333333333334,0.6433333333333333,0.8352187565962473,300
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,0.9,0.6385281385281385,0.9038996301688157,462
cifar10n_taskil__c10n_aggre__er__seed3,cifar10n_taskil,er,cifar10n:aggre,0.089,3,0.9666666666666667,0.8458333333333333,0.9887425588355178,3360
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,0.03333333333333333,,,0
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,0.1,,,0
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,0.16666666666666669,,,0
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,0.23333333333333334,,,0
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,0.3,,,0
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,0.3666666666666667,,,0
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,0.43333333333333335,,,0
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,0.5,0.5125,0.518047122657299,80
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,0.5666666666666667,0.4782608695652174,0.5694576557378591,161
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,0.6333333333333333,0.5617283950617284,0.634079979893602,162
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,0.7,0.5515151515151515,0.6996783621383436,165
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,0.7666666666666666,0.592741935483871,0.7665637878160323,248
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,0.8333333333333334,0.6371951219512195,0.8342322234700366,328
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,0.9,0.6578366445916115,0.9033777595355811,453
cifar10n_taskil__c10n_aggre__er__seed4,cifar10n_taskil,er,cifar10n:aggre,0.088,4,0.9666666666666667,0.8565971201880693,0.9868413691586548,3403
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0.03333333333333333,,,0
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0.1,,,0
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0.16666666666666669,,,0
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0.23333333333333334,,,0
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0.3,,,0
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0.3666666666666667,,,0
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0.43333333333333335,,,0
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0.5,0.4666666666666667,0.5169884966479408,90
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0.5666666666666667,0.5863874345549738,0.5643943897716662,191
