run_id,benchmark,dataset,method,family,gate_signal,label_free,backbone,noise_type,noise_rate,condition,seed,multihead,average_accuracy,class_il_acc,task_il_acc,mean_forgetting,backward_transfer,forward_transfer,buffer_purity,buffer_diversity,buffer_class_balance,class_count_variance,minority_class_coverage,n_classes_represented,gate_corr,gate_on_correct,gate_on_wrong,admission_rate,gate_separation,inversion_flag,inversion_rate,time_to_inversion,replay_loss_clean,replay_loss_noisy,ece,brier,nll,clean_mean_confidence,mislabeled_mean_confidence,clean_ece,mislabeled_ece,high_conf_mislabeled_fraction,total_time_s,peak_memory_mb,n_params
cifar10n_taskil__c10n_aggre__oracle__seed0,cifar10n_taskil,cifar10n_aggre_taskil,oracle,upper-bound,oracle,False,resnet18,cifar10n:aggre,0.086,c10n_aggre,0,True,0.7873999999999999,,0.7873999999999999,0.036250000000000004,-0.010000000000000009,-0.0010000000000000009,1.0,0.998133870281289,0.7241379310344828,21.6,1.0,10,1.0,1.0,0.0,0.9322105263157895,1.0,False,0.0,,0.017468603544787173,,0.13023148448467253,0.3342054141758176,0.6676005744426365,0.9267804026603699,0.8812313079833984,0.07802463920984404,0.2750437142209309,0.0698558175924891,180.57434821128845,1023.0528,11173962
cifar10n_taskil__c10n_aggre__oracle__seed1,cifar10n_taskil,cifar10n_aggre_taskil,oracle,upper-bound,oracle,False,resnet18,cifar10n:aggre,0.09,c10n_aggre,1,True,0.7872000000000001,,0.7872000000000001,0.038250000000000006,-0.018750000000000017,-0.08449999999999999,1.0,0.9960759100283438,0.6557377049180327,44.8,1.0,10,1.0,1.0,0.0,0.9368421052631579,1.0,False,0.0,,0.029622684960359878,,0.13586782027482985,0.33925734892536974,0.6862736591360216,0.9289841055870056,0.8983449339866638,0.09341453924048473,0.30858988133485843,0.08047363227716259,180.5668113231659,1023.0528,11173962
cifar10n_taskil__c10n_aggre__oracle__seed2,cifar10n_taskil,cifar10n_aggre_taskil,oracle,upper-bound,oracle,False,resnet18,cifar10n:aggre,0.092,c10n_aggre,2,True,0.8034000000000001,,0.8034000000000001,0.059500000000000025,-0.04225000000000001,-0.005750000000000005,1.0,0.9955424032546322,0.6721311475409836,51.8,1.0,10,1.0,1.0,0.0,0.9322105263157895,1.0,False,0.0,,0.028802175212819633,,0.11595634062290192,0.31353578274648297,0.6200202415918912,0.9283158183097839,0.8741987347602844,0.08751245421313764,0.22865242088902862,0.07199287860242573,180.56276321411133,1021.464576,11173962
cifar10n_taskil__c10n_aggre__oracle__seed3,cifar10n_taskil,cifar10n_aggre_taskil,oracle,upper-bound,oracle,False,resnet18,cifar10n:aggre,0.089,c10n_aggre,3,True,0.7876,,0.7876,0.05150000000000002,-0.05150000000000002,-0.0027499999999999886,1.0,0.9941588285123268,0.5901639344262295,64.0,1.0,10,1.0,1.0,0.0,0.9381052631578948,1.0,False,0.0,,0.032498708876247846,,0.12825961368083955,0.340641310724508,0.693347138575482,0.9243945479393005,0.8912092447280884,0.0853817107563507,0.29007499012920035,0.07735488941282137,180.4854700565338,1024.726016,11173962
cifar10n_taskil__c10n_aggre__oracle__seed4,cifar10n_taskil,cifar10n_aggre_taskil,oracle,upper-bound,oracle,False,resnet18,cifar10n:aggre,0.088,c10n_aggre,4,True,0.7968,,0.7968,0.03975000000000001,-0.02100000000000002,-0.0005000000000000143,1.0,0.9891604736171699,0.42424242424242425,115.2,1.0,10,1.0,1.0,0.0,0.9410526315789474,1.0,False,0.0,,0.02597989317471385,,0.12333361551761628,0.3200383247554665,0.622475753752131,0.9247295260429382,0.8971993327140808,0.09117522319620357,0.2590051369585154,0.0778844008033921,180.52282333374023,1028.327936,11173962
cifar10n_taskil__c10n_worse__derpp__seed0,cifar10n_taskil,cifar10n_worse_taskil,derpp,replay,none,True,resnet18,cifar10n:worse,0.4,c10n_worse,0,True,0.6102000000000001,,0.6102000000000001,0.037500000000000006,-0.0325,0.01999999999999999,0.604,0.9828468245204562,0.41333333333333333,197.4,1.0,10,,,,,,False,,,0.2931897804415796,0.36490021700349945,0.07193155473470689,0.4770955829786757,0.6761794577473884,0.6940597891807556,0.6692245602607727,0.045130798561256354,0.22760877407602875,0.2661782661782662,217.2335240840912,1022.356992,11173962
cifar10n_taskil__c10n_worse__derpp__seed1,cifar10n_taskil,cifar10n_worse_taskil,derpp,replay,none,True,resnet18,cifar10n:worse,0.393,c10n_worse,1,True,0.609,,0.609,0.07624999999999998,-0.07174999999999998,-0.0015000000000000013,0.57,0.9909223527514034,0.4444444444444444,95.8,1.0,10,,,,,,False,,,0.36184108246361174,0.41698158466538715,0.07358249143362043,0.47236640220851517,0.6752621189360708,0.6839430928230286,0.6649088859558105,0.017431122818117428,0.18518353467641332,0.29079159935379645,217.39401245117188,1022.356992,11173962
cifar10n_taskil__c10n_worse__derpp__seed2,cifar10n_taskil,cifar10n_worse_taskil,derpp,replay,none,True,resnet18,cifar10n:worse,0.402,c10n_worse,2,True,0.5548,,0.5548,0.09224999999999997,-0.09124999999999997,-0.007749999999999993,0.636,0.9917655768621246,0.5223880597014925,95.0,1.0,10,,,,,,False,,,0.34605372912336857,0.38035873919316043,0.11207354526519775,0.5209955351890575,0.7265530287712727,0.6731976866722107,0.6581781506538391,0.02081550638026433,0.21003235052048022,0.3380035026269702,217.2803134918213,1022.356992,11173962
cifar10n_taskil__c10n_worse__derpp__seed3,cifar10n_taskil,cifar10n_worse_taskil,derpp,replay,none,True,resnet18,cifar10n:worse,0.389,c10n_worse,3,True,0.5996,,0.5996,0.08274999999999999,-0.06950000000000003,0.0005000000000000004,0.596,0.995593749004649,0.6451612903225806,51.2,1.0,10,,,,,,False,,,0.358953257558079,0.4861973100387962,0.07097519774436951,0.4775944738321005,0.6822670978183993,0.6569975018501282,0.6434295177459717,0.030609631863686582,0.1380176713880096,0.3344155844155844,219.80214834213257,1022.356992,11173962
cifar10n_taskil__c10n_worse__derpp__seed4,cifar10n_taskil,cifar10n_worse_taskil,derpp,replay,none,True,resnet18,cifar10n:worse,0.4,c10n_worse,4,True,0.6100000000000001,,0.6100000000000001,0.03149999999999997,-0.03149999999999997,-0.0155,0.58,0.9914926077443524,0.5072463768115942,98.2,1.0,10,,,,,,False,,,0.3229957587019427,0.5340697165933393,0.08897634283304215,0.47604098320068555,0.6729822399300243,0.6923959255218506,0.672102689743042,0.0286560332140828,0.22660604039025228,0.30993377483443707,218.3099603652954,1022.356992,11173962
